,U:0,U:1,,,arc_length,p,velMag
,0.78849,3.4675,,,21.046,-0.14514,3.55601922521518
,0.79364,3.4738,,,21.115,-0.14535,3.56330617399067
,0.79929,3.4821,,,21.184,-0.14571,3.57265796209209
,0.80339,3.4846,,,21.253,-0.14607,3.57601351397055
,0.80585,3.4804,,,21.322,-0.14653,3.57247510593146
,0.80854,3.4771,,,21.391,-0.14707,3.56986853281742
,0.81145,3.4747,,,21.46,-0.1477,3.56819158573359
,0.81461,3.4732,,,21.529,-0.14842,3.56745114782249
,0.81799,3.4726,,,21.598,-0.14923,3.56764045275025
,0.82078,3.4702,,,21.667,-0.14967,3.56594557563629
,0.82357,3.4682,,,21.736,-0.15004,3.56464286919461
,0.82665,3.4673,,,21.805,-0.15051,3.56448025839673
,0.83002,3.4675,,,21.874,-0.15106,3.56545781778442
,0.83368,3.469,,,21.943,-0.1517,3.56777007981176
,0.83764,3.4716,,,22.012,-0.15242,3.57122490605114
,0.84152,3.4744,,,22.081,-0.15289,3.57485821682483
,0.84541,3.4778,,,22.15,-0.15319,3.57907961745754
,0.84965,3.4825,,,22.219,-0.15362,3.58464940719452
,0.85423,3.4886,,,22.288,-0.15418,3.59166240798046
,0.85774,3.491,,,22.357,-0.15481,3.59482946850056
,0.86012,3.4894,,,22.426,-0.15551,3.59384456736793
,0.86234,3.4875,,,22.495,-0.15618,3.59253204934904
,0.86423,3.485,,,22.564,-0.15673,3.59055963505691
,0.86631,3.4831,,,22.633,-0.1574,3.58921699345414
,0.86858,3.4819,,,22.702,-0.15818,3.58860123535619
,0.87104,3.4814,,,22.771,-0.15907,3.58871239326865
,0.87369,3.4815,,,22.84,-0.16008,3.58945350521497
,0.87654,3.4823,,,22.909,-0.1612,3.59092406792458
,0.87905,3.4828,,,22.978,-0.16209,3.59202237499991
,0.88174,3.484,,,23.047,-0.16303,3.59384493649907
,0.88465,3.486,,,23.116,-0.16406,3.59649852252159
,0.8878,3.4887,,,23.185,-0.16518,3.59989118307762
,0.89118,3.4921,,,23.254,-0.16639,3.60402056076266
,0.89479,3.4964,,,23.323,-0.16769,3.60908050673575
,0.89827,3.5005,,,23.392,-0.16881,3.6139160536598
,0.90162,3.5046,,,23.461,-0.16972,3.6187207386589
,0.90497,3.5089,,,23.53,-0.17072,3.62372045153872
,0.90612,3.5068,,,23.599,-0.17188,3.62197455739269
,0.90738,3.5051,,,23.668,-0.17313,3.62064420709906
,0.90876,3.5037,,,23.737,-0.17447,3.61963512354491
,0.91025,3.5025,,,23.806,-0.17589,3.61884806430168
,0.91156,3.5012,,,23.875,-0.17709,3.61791971630107
,0.91285,3.5001,,,23.944,-0.17825,3.61718055016611
,0.91425,3.4992,,,24.013,-0.17951,3.61666333828572
,0.91577,3.4986,,,24.082,-0.18088,3.61646742732463
,0.9174,3.4984,,,24.151,-0.18234,3.61668706415139
